school,sex,age,address,Medu,Fedu,traveltime,studytime,failures,schoolsup,famsup,paid,activities,Walc,absences,G1,G2,G3
GP,F,18,U,4,4,2,2,0,yes,no,no,no,1,4,0,11,11
GP,F,17,U,1,1,1,2,0,no,yes,no,no,1,2,9,11,11
GP,F,15,U,1,1,1,2,0,yes,no,no,no,3,6,12,13,12
GP,F,15,U,4,2,1,3,0,no,yes,no,yes,1,0,14,14,14
GP,F,16,U,3,3,1,2,0,no,yes,no,no,2,0,11,13,13
GP,M,16,U,4,3,1,2,0,no,yes,no,yes,2,6,12,12,13
GP,M,16,U,2,2,1,2,0,no,no,no,no,1,0,13,12,13
GP,F,17,U,4,4,2,2,0,yes,yes,no,no,1,2,10,13,13
GP,M,15,U,3,2,1,2,0,no,yes,no,no,1,0,15,16,17
GP,M,15,U,3,4,1,2,0,no,yes,no,yes,1,0,12,12,13
GP,F,15,U,4,4,1,2,0,no,yes,no,no,2,2,14,14,14
GP,F,15,U,2,1,3,3,0,no,yes,no,yes,1,0,10,12,13
GP,M,15,U,4,4,1,1,0,no,yes,no,yes,3,0,12,13,12
GP,M,15,U,4,3,2,2,0,no,yes,no,no,2,0,12,12,13
GP,M,15,U,2,2,1,3,0,no,yes,no,no,1,0,14,14,15
GP,F,16,U,4,4,1,1,0,no,yes,no,no,2,6,17,17,17
GP,F,16,U,4,4,1,3,0,no,yes,no,yes,2,10,13,13,14
GP,F,16,U,3,3,3,2,0,yes,yes,no,yes,1,2,13,14,14
GP,M,17,U,3,2,1,1,3,no,yes,yes,yes,4,2,8,8,7
GP,M,16,U,4,3,1,1,0,no,no,no,yes,3,6,12,12,12
GP,M,15,U,4,3,1,2,0,no,no,no,no,1,0,12,13,14
GP,M,15,U,4,4,1,1,0,no,yes,yes,no,1,0,11,12,12
GP,M,16,U,4,2,1,2,0,no,no,no,yes,3,0,12,13,14
GP,M,16,U,2,2,2,2,0,no,yes,no,yes,4,2,10,10,10
GP,F,15,R,2,4,1,3,0,yes,yes,no,yes,1,2,10,11,10
GP,F,16,U,2,2,1,1,0,no,yes,no,no,3,6,10,11,12
GP,M,15,U,2,2,1,1,0,no,yes,no,no,2,8,11,12,12
GP,M,15,U,4,2,1,1,0,no,no,no,no,4,0,11,11,11
GP,M,16,U,3,4,1,2,0,yes,yes,yes,yes,1,2,12,12,13
GP,M,16,U,4,4,1,2,0,no,yes,yes,yes,5,4,12,11,12
GP,M,15,U,4,4,1,2,0,no,yes,yes,no,4,0,10,11,11
GP,M,15,U,4,4,2,2,0,no,yes,no,yes,1,2,15,15,15
GP,M,15,R,4,3,1,2,0,no,yes,no,yes,1,0,13,14,15
GP,M,15,U,3,3,1,2,0,no,no,no,yes,1,0,13,12,12
GP,M,16,U,3,2,1,1,0,no,yes,no,no,1,4,12,12,12
GP,F,15,U,2,3,2,1,0,no,yes,no,yes,1,4,11,11,11
GP,M,15,U,4,3,1,3,0,no,yes,no,yes,1,0,14,14,14
GP,M,16,R,4,4,2,3,0,no,yes,no,yes,1,4,13,13,13
GP,F,15,R,3,4,1,3,0,yes,yes,no,yes,1,2,11,12,12
GP,F,15,R,2,2,1,1,0,yes,yes,no,yes,1,8,14,13,12
GP,F,16,U,2,2,2,2,0,no,yes,no,yes,2,16,11,11,10
GP,M,15,U,4,4,1,1,0,no,yes,no,no,4,8,10,11,11
GP,M,15,U,4,4,1,2,0,no,yes,no,yes,1,0,14,15,15
GP,M,15,U,2,2,1,1,0,yes,yes,no,no,1,0,9,10,10
GP,F,16,U,2,2,2,2,1,yes,no,no,yes,2,14,10,11,11
GP,F,15,U,4,3,1,2,0,yes,yes,yes,yes,1,4,10,11,11
GP,F,16,U,3,3,1,2,0,no,yes,no,no,4,6,13,12,13
GP,M,16,U,4,3,1,4,0,no,no,no,yes,1,2,17,17,17
GP,M,15,U,4,2,1,2,0,no,yes,no,no,2,4,11,12,13
GP,F,15,U,4,4,1,2,0,yes,yes,no,yes,1,2,13,12,12
GP,F,16,U,2,2,3,2,0,no,yes,no,no,3,0,14,13,13
GP,F,15,U,4,2,1,2,0,no,yes,no,no,1,0,16,14,16
GP,M,15,U,4,2,2,1,0,no,no,no,no,4,4,10,9,9
GP,F,15,U,4,4,1,1,0,yes,yes,no,no,3,0,13,12,12
GP,F,15,U,3,3,1,1,0,no,no,no,no,4,0,13,12,13
GP,F,16,U,2,1,1,2,0,no,no,no,yes,1,2,12,13,12
GP,F,15,U,4,3,1,2,0,no,yes,no,yes,1,0,15,14,15
GP,M,15,U,4,4,1,2,0,no,yes,no,yes,1,8,15,15,16
GP,M,15,U,1,2,1,2,0,yes,yes,no,yes,1,0,14,13,14
GP,F,16,U,4,2,1,2,0,no,yes,yes,no,1,2,16,15,16
GP,F,16,R,4,4,1,2,0,no,yes,no,yes,3,0,17,16,16
GP,F,16,U,1,1,4,1,0,yes,yes,no,yes,5,0,10,10,16
GP,F,16,U,1,2,1,2,0,yes,no,no,yes,1,0,13,13,10
GP,F,16,U,4,3,1,3,0,yes,yes,no,yes,4,0,14,13,13
GP,F,15,U,4,3,1,2,0,yes,no,no,yes,4,0,13,12,12
GP,F,16,U,4,3,3,2,0,no,yes,no,yes,2,2,16,15,16
GP,M,15,U,4,4,1,4,0,no,yes,no,yes,5,0,11,12,12
GP,F,16,U,3,1,1,4,0,yes,yes,no,no,2,0,10,9,10
GP,F,15,R,2,2,2,2,0,yes,yes,no,no,3,0,11,10,11
GP,F,15,R,3,1,2,4,0,no,yes,no,no,3,6,15,15,15
GP,M,16,U,3,1,2,4,0,no,yes,no,no,1,2,13,11,11
GP,M,15,U,4,2,1,4,0,no,no,no,no,1,0,11,9,10
GP,F,15,R,1,1,1,2,0,yes,yes,no,no,4,2,13,11,11
GP,M,16,U,3,1,1,1,0,no,no,no,yes,2,0,13,13,14
GP,F,16,U,3,3,1,2,0,yes,yes,no,yes,4,4,11,11,11
GP,M,15,U,4,3,1,2,0,no,yes,no,yes,3,0,11,11,11
GP,M,15,U,4,0,2,4,0,no,no,no,yes,1,0,12,11,11
GP,F,16,U,2,2,1,4,0,no,no,no,no,3,1,13,13,13
GP,M,17,U,2,1,2,1,3,yes,yes,no,yes,1,0,9,9,10
GP,F,16,U,3,4,1,2,0,no,yes,no,no,2,14,12,11,11
GP,M,15,U,2,3,1,1,0,yes,yes,no,yes,3,0,11,11,12
GP,M,15,U,2,3,1,3,0,yes,no,no,no,2,2,10,9,9
GP,F,15,U,3,2,1,2,0,no,yes,no,no,1,4,12,11,11
GP,M,15,U,2,2,2,2,0,no,no,yes,yes,3,2,13,12,13
GP,F,15,U,1,1,1,2,0,no,yes,no,yes,3,2,13,12,12
GP,F,15,U,4,4,2,2,0,no,no,no,no,3,4,12,11,12
GP,F,16,U,2,2,1,2,0,no,yes,no,no,2,6,13,11,11
GP,F,15,U,4,2,1,3,0,no,yes,no,yes,3,4,15,15,15
GP,M,16,U,2,2,2,2,0,no,no,no,yes,1,6,12,10,11
GP,M,16,U,4,4,1,2,0,no,yes,no,no,5,6,9,9,10
GP,F,16,U,3,3,1,3,0,no,yes,no,no,3,2,9,11,11
GP,F,15,U,4,3,1,1,0,no,no,no,yes,3,6,14,13,13
GP,F,16,U,3,1,1,2,0,yes,yes,no,no,3,0,12,13,12
GP,F,16,U,4,2,2,2,0,no,yes,no,yes,1,2,13,14,14
GP,M,15,U,2,2,1,4,0,no,yes,no,yes,1,2,11,12,12
GP,F,15,R,1,1,2,4,0,yes,yes,yes,yes,1,4,13,13,13
GP,M,16,R,4,3,2,1,0,yes,yes,yes,yes,1,6,9,11,11
GP,F,16,U,2,1,1,2,0,no,yes,no,no,1,0,13,12,12
GP,F,16,U,4,4,1,1,0,no,no,no,yes,2,4,12,13,13
GP,F,16,U,4,3,1,3,0,yes,yes,no,no,1,2,12,13,13
GP,M,16,U,4,4,1,1,0,yes,yes,no,yes,5,12,9,9,8
GP,M,16,U,4,4,1,3,0,no,yes,no,yes,1,0,16,16,16
GP,M,15,U,4,4,1,1,0,no,yes,yes,yes,1,2,12,13,12
GP,F,15,U,3,2,2,2,0,yes,yes,no,no,1,16,11,10,10
GP,M,15,U,3,4,1,2,0,no,yes,no,yes,1,0,16,16,16
GP,F,15,U,3,3,1,4,0,yes,no,no,no,1,10,10,10,10
GP,F,15,U,2,2,1,4,0,yes,yes,no,no,1,4,10,10,10
GP,M,16,U,3,3,1,3,0,no,yes,no,yes,1,4,13,14,14
GP,M,15,R,4,4,4,4,0,no,yes,no,yes,5,8,12,10,11
GP,F,16,U,4,4,1,3,0,no,yes,no,yes,1,2,15,15,14
GP,M,15,U,4,4,1,1,0,no,no,no,yes,1,4,13,14,14
GP,F,16,R,3,3,1,3,0,yes,yes,no,yes,1,4,11,11,11
GP,F,16,U,2,2,1,2,1,yes,no,no,yes,1,12,8,10,10
GP,M,15,U,4,2,1,1,0,no,no,no,no,1,10,18,17,18
GP,M,15,R,2,1,1,2,0,no,no,no,yes,1,4,10,9,10
GP,M,16,U,4,4,1,2,0,no,yes,no,yes,2,6,16,14,14
GP,M,15,U,4,4,2,2,0,no,yes,no,yes,1,4,16,15,16
GP,M,16,U,3,3,2,1,0,no,no,no,yes,1,6,14,14,15
GP,M,17,R,1,3,3,2,1,no,yes,no,yes,4,14,12,11,11
GP,M,15,U,3,4,1,1,0,no,no,no,no,2,2,14,13,14
GP,F,15,U,1,2,1,2,0,no,no,no,no,2,0,14,14,14
GP,M,15,U,2,2,1,4,0,no,yes,no,yes,2,6,14,13,13
GP,F,16,U,2,4,2,2,0,no,yes,no,yes,2,2,14,12,13
GP,M,16,U,4,4,1,1,0,no,yes,no,yes,4,4,12,13,13
GP,F,16,U,2,2,1,2,0,no,no,no,no,1,0,12,11,11
GP,M,15,U,3,4,1,1,0,yes,no,no,no,2,2,9,9,9
GP,F,15,U,3,4,1,2,0,yes,no,no,yes,1,0,10,11,11
GP,F,19,U,0,1,1,2,2,no,yes,no,no,1,0,9,10,11
GP,M,16,R,4,4,1,1,0,no,no,no,yes,5,8,14,14,15
GP,M,16,U,2,3,2,3,0,no,yes,no,no,2,4,13,12,13
GP,F,15,R,3,4,2,3,0,no,yes,no,no,2,0,10,11,12
GP,F,18,U,2,1,1,2,3,no,yes,no,yes,3,10,10,9,8
GP,F,17,U,2,1,3,1,0,no,yes,no,no,2,8,11,10,11
GP,F,15,U,1,1,3,1,0,no,yes,no,yes,2,6,11,12,13
GP,F,17,U,2,2,1,1,0,no,yes,no,no,3,2,13,12,12
GP,F,16,U,3,4,1,1,0,no,no,no,no,4,12,15,13,14
GP,M,16,U,2,1,4,1,0,no,no,no,no,1,4,9,9,11
GP,F,16,U,2,2,1,1,1,no,no,no,no,1,12,13,11,11
GP,M,15,R,3,4,4,2,0,no,yes,no,no,1,2,12,11,11
GP,F,15,U,4,4,1,3,0,no,yes,no,yes,1,4,13,14,15
GP,M,17,R,3,4,3,2,0,no,no,no,no,4,2,10,9,10
GP,F,16,R,1,1,4,2,0,no,yes,no,no,1,0,14,13,13
GP,M,18,U,3,1,2,1,0,no,no,no,yes,5,2,11,11,12
