Formula Grant Accountability/Performance Custom Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,Indicator,Edu Type,Year,Grand Total Numerator,Grand Total Denominator,Grand Total Target,Grand Total Actual Performance,Met 90%,Missed 90%,Male Numerator,Male Denominator,Male Target,Male Actual Performance,Female  Numerator,Female  Denominator,Female  Target,Female  Actual Performance,American Indian or Alaskan Native (1997) Numerator,American Indian or Alaskan Native (1997) Denominator,American Indian or Alaskan Native (1997) Target,American Indian or Alaskan Native (1997) Actual Performance,Asian (1997) Numerator,Asian (1997) Denominator,Asian (1997) Target,Asian (1997) Actual Performance,Black or African American (1997) Numerator,Black or African American (1997) Denominator,Black or African American (1997) Target,Black or African American (1997) Actual Performance,Hispanic/Latino (1997) Numerator,Hispanic/Latino (1997) Denominator,Hispanic/Latino (1997) Target,Hispanic/Latino (1997) Actual Performance,Native Hawaiian or Other Pacific Islander (1997) Numerator,Native Hawaiian or Other Pacific Islander (1997) Denominator,Native Hawaiian or Other Pacific Islander (1997) Target,Native Hawaiian or Other Pacific Islander (1997) Actual Performance,White (1997) Numerator,White (1997) Denominator,White (1997) Target,White (1997) Actual Performance,Two or More Races (1997) Numerator,Two or More Races (1997) Denominator,Two or More Races (1997) Target,Two or More Races (1997) Actual Performance,Unknown (1997) Numerator,Unknown (1997) Denominator,Unknown (1997) Target,Unknown (1997) Actual Performance,American Indian or Alaskan Native (1977) Numerator,American Indian or Alaskan Native (1977) Denominator,American Indian or Alaskan Native (1977) Target,American Indian or Alaskan Native (1977) Actual Performance,Asian or Pacific Islander (1977) Numerator,Asian or Pacific Islander (1977) Denominator,Asian or Pacific Islander (1977) Target,Asian or Pacific Islander (1977) Actual Performance,Black (Not Hispanic) (1977) Numerator,Black (Not Hispanic) (1977) Denominator,Black (Not Hispanic) (1977) Target,Black (Not Hispanic) (1977) Actual Performance,Hispanic (1977) Numerator,Hispanic (1977) Denominator,Hispanic (1977) Target,Hispanic (1977) Actual Performance,White (1977) Numerator,White (1977) Denominator,White (1977) Target,White (1977) Actual Performance,Unknown (1977) Numerator,Unknown (1977) Denominator,Unknown (1977) Target,Unknown (1977) Actual Performance
California,1P1: Technical Skill Attainment,Postsecondary,"2,016","210,469","240,451",91.00%,87.53%,Yes,No,"103,863","119,338",91.00%,87.03%,"106,606","121,113",91.00%,88.02%,"1,168","1,383",91.00%,84.45%,"28,351","31,751",91.00%,89.29%,"13,873","16,706",91.00%,83.04%,"78,645","90,350",91.00%,87.04%,900,"1,053",91.00%,85.47%,"74,132","83,769",91.00%,88.50%,"6,905","7,753",91.00%,89.06%,"6,495","7,686",91.00%,84.50%,0,0,91.00%,0.00%,0,0,91.00%,0.00%,0,0,91.00%,0.00%,0,0,91.00%,0.00%,0,0,91.00%,0.00%,0,0,91.00%,0.00%
California,1P1: Technical Skill Attainment,Postsecondary,"2,015","211,010","240,458",89.75%,87.75%,Yes,No,"103,379","118,516",89.75%,87.23%,"107,631","121,942",89.75%,88.26%,"1,271","1,494",89.75%,85.07%,"28,809","32,200",89.75%,89.47%,"14,221","17,052",89.75%,83.40%,"74,274","85,377",89.75%,87.00%,970,"1,162",89.75%,83.48%,"77,150","86,676",89.75%,89.01%,"5,937","6,730",89.75%,88.22%,"8,378","9,767",89.75%,85.78%,0,0,89.75%,0.00%,0,0,89.75%,0.00%,0,0,89.75%,0.00%,0,0,89.75%,0.00%,0,0,89.75%,0.00%,0,0,89.75%,0.00%
California,1P1: Technical Skill Attainment,Postsecondary,"2,014","217,469","243,999",89.50%,89.13%,Yes,No,"106,017","119,475",89.50%,88.74%,"111,452","124,524",89.50%,89.50%,"1,517","1,743",89.50%,87.03%,"30,100","33,193",89.50%,90.68%,"15,079","17,648",89.50%,85.44%,"71,697","81,490",89.50%,87.98%,"1,114","1,285",89.50%,86.69%,"81,094","89,730",89.50%,90.38%,"4,733","5,314",89.50%,89.07%,"12,135","13,596",89.50%,89.25%,0,0,89.50%,0.00%,0,0,89.50%,0.00%,0,0,89.50%,0.00%,0,0,89.50%,0.00%,0,0,89.50%,0.00%,0,0,89.50%,0.00%
California,1P1: Technical Skill Attainment,Postsecondary,"2,013","221,733","247,827",88.83%,89.47%,Yes,No,"107,931","121,099",88.83%,89.13%,"113,802","126,728",88.83%,89.80%,"1,809","2,019",88.83%,89.60%,"31,334","34,412",88.83%,91.06%,"15,105","17,675",88.83%,85.46%,"69,724","78,776",88.83%,88.51%,"1,301","1,504",88.83%,86.50%,"83,892","92,763",88.83%,90.44%,"2,929","3,324",88.83%,88.12%,"15,639","17,354",88.83%,90.12%,0,0,88.83%,0.00%,0,0,88.83%,0.00%,0,0,88.83%,0.00%,0,0,88.83%,0.00%,0,0,88.83%,0.00%,0,0,88.83%,0.00%
California,1P1: Technical Skill Attainment,Postsecondary,"2,012","217,982","243,186",88.82%,89.64%,Yes,No,"105,278","117,882",88.82%,89.31%,"112,704","125,304",88.82%,89.94%,"1,884","2,101",88.82%,89.67%,"31,279","34,218",88.82%,91.41%,"14,309","16,905",88.82%,84.64%,"64,490","72,809",88.82%,88.57%,"1,441","1,657",88.82%,86.96%,"81,345","89,779",88.82%,90.61%,"1,492","1,654",88.82%,90.21%,"21,742","24,063",88.82%,90.35%,0,0,88.82%,0.00%,0,0,88.82%,0.00%,0,0,88.82%,0.00%,0,0,88.82%,0.00%,0,0,88.82%,0.00%,0,0,88.82%,0.00%
California,1P1: Technical Skill Attainment,Postsecondary,"2,011","205,910","231,109",88.81%,89.10%,Yes,No,"98,470","110,772",88.81%,88.89%,"107,440","120,337",88.81%,89.28%,"1,971","2,248",88.81%,87.68%,"31,197","34,293",88.81%,90.97%,"14,082","16,612",88.81%,84.77%,"59,493","67,840",88.81%,87.70%,"1,621","1,817",88.81%,89.21%,"79,665","88,411",88.81%,90.11%,42,42,88.81%,100.00%,"17,839","19,846",88.81%,89.89%,0,0,88.81%,0.00%,0,0,88.81%,0.00%,0,0,88.81%,0.00%,0,0,88.81%,0.00%,0,0,88.81%,0.00%,0,0,88.81%,0.00%
California,1P1: Technical Skill Attainment,Postsecondary,"2,010","192,635","216,702",88.37%,88.89%,Yes,No,"91,616","103,099",88.37%,88.86%,"101,019","113,603",88.37%,88.92%,"1,820","2,101",88.37%,86.63%,"29,435","32,420",88.37%,90.79%,"13,078","15,632",88.37%,83.66%,"55,521","63,370",88.37%,87.61%,"1,296","1,480",88.37%,87.57%,"75,962","84,390",88.37%,90.01%,0,-1,88.37%,0.00%,"15,523","17,309",88.37%,89.68%,0,0,88.37%,0.00%,0,0,88.37%,0.00%,0,0,88.37%,0.00%,0,0,88.37%,0.00%,0,0,88.37%,0.00%,0,0,88.37%,0.00%
California,1P1: Technical Skill Attainment,Postsecondary,"2,009","185,801","211,329",87.93%,87.92%,Yes,No,"86,774","99,029",87.93%,87.62%,"99,027","112,300",87.93%,88.18%,"1,792","2,081",87.93%,86.11%,"28,550","31,577",87.93%,90.41%,"12,692","15,620",87.93%,81.25%,"53,172","61,532",87.93%,86.41%,"1,172","1,353",87.93%,86.62%,"74,100","82,828",87.93%,89.46%,0,0,87.93%,0.00%,"14,323","16,338",87.93%,87.67%,0,0,87.93%,0.00%,0,0,87.93%,0.00%,0,0,87.93%,0.00%,0,0,87.93%,0.00%,0,0,87.93%,0.00%,0,0,87.93%,0.00%
California,1P1: Technical Skill Attainment,Postsecondary,"2,008",0,0,0.00%,0.00%,No,No,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
California,"2P1: Credential, Certificate, or Degree",Postsecondary,"2,016","106,038","120,765",83.00%,87.81%,Yes,No,"48,735","57,813",83.00%,84.30%,"57,303","62,952",83.00%,91.03%,583,662,83.00%,88.07%,"16,679","18,001",83.00%,92.66%,"6,020","7,214",83.00%,83.45%,"37,774","43,550",83.00%,86.74%,447,521,83.00%,85.80%,"37,242","42,540",83.00%,87.55%,"3,351","3,862",83.00%,86.77%,"3,942","4,415",83.00%,89.29%,0,0,83.00%,0.00%,0,0,83.00%,0.00%,0,0,83.00%,0.00%,0,0,83.00%,0.00%,0,0,83.00%,0.00%,0,0,83.00%,0.00%
